station,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
74410,2024-09-17 00:00:00,15.0,11.8,81.0,0.0,,0.0,0.0,,1024.4,,3.0
74410,2024-09-17 01:00:00,13.3,11.7,90.0,0.0,,0.0,0.0,,1024.4,,3.0
74410,2024-09-17 02:00:00,13.3,10.7,84.0,0.0,,0.0,0.0,,1023.9,,3.0
74410,2024-09-17 03:00:00,11.7,10.6,93.0,0.0,,0.0,0.0,,1023.7,,3.0
74410,2024-09-17 04:00:00,11.0,10.5,97.0,0.0,,141.0,7.6,,1025.0,,3.0
74410,2024-09-17 05:00:00,11.0,10.4,96.0,0.0,,121.0,5.8,,1026.0,,3.0
74410,2024-09-17 06:00:00,10.0,9.4,96.0,0.0,,0.0,0.0,,1023.3,,5.0
74410,2024-09-17 07:00:00,10.0,8.9,93.0,0.0,,91.0,4.3,,1025.0,,3.0
74410,2024-09-17 08:00:00,10.0,8.9,93.0,0.0,,0.0,0.0,,1025.0,,5.0
74410,2024-09-17 09:00:00,9.4,8.3,93.0,0.0,,0.0,0.0,,1023.3,,5.0
74410,2024-09-17 10:00:00,9.0,8.4,96.0,0.0,,83.0,3.6,,1025.0,,5.0
74410,2024-09-17 11:00:00,11.1,11.1,100.0,0.0,,0.0,0.0,,1024.2,,5.0
74410,2024-09-17 12:00:00,14.4,11.7,84.0,0.0,,0.0,0.0,,1023.8,,3.0
74410,2024-09-17 13:00:00,17.8,12.3,70.0,0.0,,0.0,0.0,,1023.4,,3.0
74410,2024-09-17 14:00:00,21.0,12.7,59.0,0.0,,11.0,6.0,,1025.0,,3.0
74410,2024-09-17 15:00:00,25.0,10.5,40.0,0.0,,0.0,0.0,,1022.1,,3.0
74410,2024-09-17 16:00:00,25.6,9.0,35.0,0.0,,0.0,0.0,,1021.6,,3.0
74410,2024-09-17 17:00:00,25.6,10.6,39.0,0.0,,200.0,7.6,,1021.1,,3.0
74410,2024-09-17 18:00:00,26.0,10.6,38.0,0.0,,220.0,7.0,,1023.0,,3.0
74410,2024-09-17 19:00:00,26.1,11.1,39.0,0.0,,260.0,5.4,,1020.2,,3.0
74410,2024-09-17 20:00:00,26.1,11.1,39.0,0.0,,200.0,5.4,,1020.2,,3.0
74410,2024-09-17 21:00:00,23.3,10.7,45.0,0.0,,180.0,7.6,,1020.4,,3.0
74410,2024-09-17 22:00:00,20.0,13.2,65.0,0.0,,210.0,5.4,,1020.8,,3.0
74410,2024-09-17 23:00:00,18.0,12.4,70.0,0.0,,110.0,8.3,,1022.0,,3.0
74410,2024-09-18 00:00:00,15.6,12.2,80.0,0.0,,0.0,0.0,,1020.8,,3.0
74410,2024-09-18 01:00:00,14.4,12.3,87.0,0.0,,0.0,0.0,,1020.4,,3.0
74410,2024-09-18 02:00:00,13.3,11.7,90.0,0.0,,0.0,0.0,,1020.5,,3.0
74410,2024-09-18 03:00:00,12.0,10.9,93.0,0.0,,133.0,7.6,,1022.0,,3.0
74410,2024-09-18 04:00:00,11.7,10.6,93.0,0.0,,0.0,0.0,,1020.1,,2.0
74410,2024-09-18 05:00:00,11.0,9.7,92.0,0.0,,82.0,5.0,,1022.0,,3.0
74410,2024-09-18 06:00:00,10.0,9.4,96.0,0.0,,0.0,0.0,,1019.4,,5.0
74410,2024-09-18 07:00:00,9.4,8.9,97.0,0.0,,0.0,0.0,,1019.5,,3.0
